,z1_AC1(kW),z1_Light(kW),z1_Plug(kW),z2_AC1(kW),z2_AC2(kW),z2_AC3(kW),z2_AC4(kW),z2_AC5(kW),z2_AC6(kW),z2_AC7(kW),z2_AC8(kW),z2_AC9(kW),z2_AC10(kW),z2_AC11(kW),z2_AC12(kW),z2_AC13(kW),z2_AC14(kW),z2_Light(kW),z2_Plug(kW),z3_Light(kW),z3_Plug(kW),z4_AC1(kW),z4_Light(kW),z4_Plug(kW),z1_S1(degC),z1_S1(RH%),z1_S1(lux),z2_S1(degC),z2_S1(RH%),z2_S1(lux),z3_S1(degC),z3_S1(RH%),z3_S1(lux),z4_S1(degC),z4_S1(RH%),z4_S1(lux),temperature (°C),humidity (%)
2019-08-07 00:00:00,0.0,0.010666666666666666,0.39266666666666666,0.32033333333333336,0.0,0.0,0.0,1.234,0.4165,0.7891666666666667,0.14616666666666667,0.889,0.17016666666666666,0.0,0.0,0.0,0.0,0.0,0.07983333333333333,0.17933333333333332,0.244,0.0,0.0,0.029833333333333333,24.323833333333333,61.242666666666665,0.0,25.392333333333333,62.89333333333333,0.0,26.584166666666665,69.69833333333332,0.0,24.179666666666666,74.14666666666668,0.0,26.5,86.0
2019-08-07 01:00:00,0.0,0.010333333333333333,0.3918333333333333,0.31633333333333336,0.0,0.0,0.0,1.2403333333333333,0.4051666666666667,0.7991666666666667,0.1425,0.9005,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.08016666666666666,0.17833333333333332,0.24133333333333334,0.0,0.0,0.028,24.196833333333334,61.77766666666666,0.0,25.404166666666665,63.448,0.0,26.731833333333334,71.32533333333332,0.0,24.19816666666667,74.711,0.0,25.9,89.0
2019-08-07 02:00:00,0.0,0.010666666666666666,0.39016666666666666,0.44,0.0,0.0,0.0,1.2435,0.5283333333333333,0.7993333333333333,0.24933333333333332,0.9008333333333334,0.2896666666666667,0.0,0.0,0.0,0.0,0.0,0.08,0.17816666666666664,0.244,0.0,0.0,0.03,24.2395,62.63066666666667,0.0,25.44183333333333,63.64149999999999,0.0,26.689,71.93233333333333,0.0,24.258166666666668,75.3115,0.0,25.7,91.0
2019-08-07 03:00:00,0.0,0.010499999999999999,0.2923333333333333,0.38433333333333336,0.0,0.0,0.0,1.2411666666666668,0.4735,0.7971666666666667,0.20066666666666666,0.8993333333333333,0.23399999999999999,0.0,0.0,0.0,0.0,0.0,0.08016666666666666,0.18266666666666664,0.24,0.0,0.0,0.03,24.354499999999998,63.20516666666666,0.0,25.479333333333333,63.8205,0.0,26.704666666666665,71.73116666666667,0.0,24.304666666666666,75.81866666666666,0.0,25.6,94.0
2019-08-07 04:00:00,0.0,0.010499999999999999,0.29,0.2955,0.0,0.0,0.0,1.2375,0.38416666666666666,0.7953333333333333,0.12466666666666666,0.898,0.1455,0.0,0.0,0.0,0.0,0.0,0.08033333333333333,0.2365,0.24,0.0,0.0,0.03,24.439333333333334,64.10433333333333,0.0,25.507333333333335,63.726,0.0,26.749166666666667,72.95616666666666,0.0,24.30666666666667,75.25500000000001,0.0,25.4,95.0
2019-08-07 05:00:00,0.0,0.010666666666666666,0.28733333333333333,0.1495,0.5726666666666667,0.377,0.428,0.6453333333333333,0.24,0.417,0.0,0.4701666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.08016666666666666,0.21233333333333332,0.23983333333333334,0.0,0.0,0.03,24.514666666666663,64.5535,0.0,25.538999999999998,63.48766666666667,0.0,26.778666666666666,72.36566666666666,5.75,24.34416666666667,74.69683333333334,0.0,25.4,94.0
2019-08-07 06:00:00,0.0,1.7316666666666667,0.7976666666666666,0.1485,1.0951666666666666,0.8018333333333334,0.9173333333333333,0.0,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17099999999999999,0.102,0.8135,0.3476666666666667,0.0,0.0,0.03,24.671166666666668,64.53133333333334,31.3,25.601666666666667,63.780833333333334,1.4166666666666667,26.9755,73.7855,6.75,24.407500000000002,74.79216666666666,0.0,25.5,94.0
2019-08-07 07:00:00,0.0,4.378166666666667,1.6988333333333334,0.14550000000000002,1.1131666666666669,0.8246666666666667,0.9476666666666667,0.0,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1395,0.25016666666666665,0.9984999999999999,0.31216666666666665,0.0,0.6395000000000001,0.03,25.697666666666667,64.5505,68.46666666666667,25.832,65.20933333333333,30.133333333333333,27.319666666666667,72.77283333333334,3.066666666666667,24.483999999999998,74.4765,9.783333333333333,25.9,91.0
2019-08-07 08:00:00,30.0595,6.776,2.8141666666666665,21.5385,1.123,0.8523333333333333,0.9704999999999999,0.0,0.23800000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8701666666666665,0.4265,1.0215,0.35083333333333333,9.205833333333333,1.482,0.03,22.2045,60.621833333333335,71.93333333333334,22.399833333333333,70.00383333333333,46.8,25.766166666666667,61.477833333333336,4.4,20.049,71.95666666666666,40.21666666666667,25.9,90.0
2019-08-07 09:00:00,26.999333333333333,7.324,2.952166666666667,22.181833333333334,1.0063333333333333,0.7371666666666666,0.8424999999999999,0.0,0.23950000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5858333333333332,0.48933333333333334,0.9223333333333333,0.4513333333333333,7.9905,1.5826666666666667,0.03,20.824166666666667,63.48066666666667,76.01666666666667,21.294833333333333,72.67633333333333,46.266666666666666,25.1995,59.099000000000004,5.033333333333333,18.0,76.72266666666665,41.65,26.4,86.0
2019-08-07 10:00:00,21.842,7.498166666666666,2.9091666666666667,22.650333333333332,0.9988333333333332,0.7313333333333333,0.8361666666666666,0.0,0.23750000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4406666666666668,0.5335,0.9068333333333334,0.44,7.7185,1.5721666666666667,0.03,20.558666666666667,66.21549999999999,76.25,20.936500000000002,73.7765,44.3,24.8,59.945,5.016666666666667,17.934666666666665,78.41466666666666,41.766666666666666,27.4,80.0
2019-08-07 11:00:00,25.645666666666667,7.538666666666667,3.0416666666666665,23.169333333333334,1.186,0.911,1.0336666666666667,0.6475,0.23716666666666666,0.3795,0.0,0.43033333333333335,0.0,0.0,0.0,0.0,0.0,1.4475,0.4473333333333333,0.9591666666666667,0.484,6.877,1.5793333333333335,0.03,20.802333333333333,63.262166666666666,77.11666666666666,20.668499999999998,74.18666666666667,44.666666666666664,24.757,59.48266666666667,5.466666666666667,18.017666666666667,80.46933333333332,41.666666666666664,28.7,73.0
